station_id,capacity,docks_total,diff_net,ape_net,capacity_calib,diff_calib,ape_calib
31252,43,15,28,186.66666666666666,10.45925070523025,-4.54074929476975,30.271661965131663
31253,112,23,89,386.95652173913044,13.269883249226211,-9.730116750773789,42.30485543814691
31254,94,15,79,526.6666666666666,12.536674759488136,-2.463325240511864,16.422168270079094
31255,35,3,32,1066.6666666666665,10.133380265346661,7.133380265346661,237.77934217822204
31256,54,10,44,440.00000000000006,10.907322560070186,0.9073225600701864,9.073225600701864
31257,60,25,35,140.0,11.151725389982879,-13.848274610017121,55.39309844006849
31258,88,13,75,576.9230769230769,12.292271929575442,-0.7077280704245581,5.444062080188909
31259,41,11,30,272.7272727272727,10.377783095259353,-0.6222169047406467,5.656517315824061
31260,38,11,27,245.45454545454547,10.255581680303006,-0.7444183196969938,6.76743926997267
31261,32,14,18,128.57142857142858,10.011178850390314,-3.988821149609686,28.491579640069187
31262,187,16,171,1068.75,16.324918623134867,0.32491862313486664,2.0307413945929165
31263,44,20,24,120.0,10.499984510215699,-9.500015489784301,47.50007744892151
31264,90,3,87,2900.0,12.37373953954634,9.37373953954634,312.4579846515447
31265,85,5,80,1600.0,12.170070514619097,7.170070514619097,143.40141029238194
31266,84,11,73,663.6363636363636,12.129336709633648,1.1293367096336482,10.266697360305892
31267,79,8,71,887.5,11.925667684706404,3.9256676847064043,49.07084605883006
31268,267,25,242,968.0,19.583623021970766,-5.416376978029234,21.665507912116936
31269,43,5,38,760.0,10.45925070523025,5.45925070523025,109.18501410460499
31270,123,14,109,778.5714285714286,13.717955104066148,-0.2820448959338524,2.014606399527517
31271,50,14,36,257.14285714285717,10.744387340128391,-3.255612659871609,23.254376141940064
31272,97,28,69,246.42857142857144,12.658876174444481,-15.341123825555519,54.78972794841257
31273,47,9,38,422.22222222222223,10.622185925172046,1.6221859251720456,18.024288057467174
31274,247,1,246,24600.0,18.76894692226179,17.76894692226179,1776.894692226179
31275,55,1,54,5400.0,10.948056365055635,9.948056365055635,994.8056365055635
31276,137,23,114,495.65217391304344,14.288228373862431,-8.711771626137569,37.87726793972856
31277,100,28,72,257.14285714285717,12.781077589400827,-15.218922410599173,54.35329432356848
31278,37,10,27,270.0,10.214847875317558,0.21484787531755778,2.148478753175578
31279,49,16,33,206.25,10.703653535142942,-5.2963464648570575,33.10216540535661
31280,122,13,109,838.4615384615385,13.6772212990807,0.6772212990806992,5.209394608313071
31281,78,5,73,1460.0,11.884933879720956,6.884933879720956,137.6986775944191
31282,38,5,33,660.0,10.255581680303006,5.255581680303006,105.11163360606012
31283,30,12,18,150.0,9.929711240419417,-2.070288759580583,17.25240632983819
31284,27,15,12,80.0,9.80750982546307,-5.19249017453693,34.61660116357954
31286,194,14,180,1285.7142857142858,16.610055258033007,2.6100552580330074,18.64325184309291
31287,33,17,16,94.11764705882352,10.051912655375762,-6.948087344624238,40.8711020272014
31288,77,22,55,250.0,11.844200074735507,-10.155799925264493,46.16272693302042
31290,41,5,36,720.0,10.377783095259353,5.377783095259353,107.55566190518707
31291,87,14,73,521.4285714285714,12.251538124589993,-1.7484618754100065,12.489013395785761
31292,51,16,35,218.75,10.78512114511384,-5.214878854886161,32.5929928430385
31293,245,5,240,4800.0,18.68747931229089,13.68747931229089,273.7495862458178
31294,47,10,37,370.0,10.622185925172046,0.6221859251720456,6.221859251720456
31295,55,4,51,1275.0,10.948056365055635,6.948056365055635,173.70140912639087
31296,134,8,126,1575.0,14.166026958906084,6.166026958906084,77.07533698632605
31298,50,10,40,400.0,10.744387340128391,0.7443873401283909,7.44387340128391
31299,31,12,19,158.33333333333331,9.970445045404865,-2.0295549545951346,16.912957954959452
31300,24,11,13,118.18181818181819,9.685308410506725,-1.3146915894932754,11.95174172266614
31301,125,14,111,792.8571428571429,13.799422714037046,-0.20057728596295377,1.432694899735384
31302,77,19,58,305.2631578947369,11.844200074735507,-7.155799925264493,37.66210486981312
31303,124,12,112,933.3333333333334,13.758688909051596,1.758688909051596,14.6557409087633
31304,80,7,73,1042.857142857143,11.966401489691853,4.966401489691853,70.94859270988361
31305,37,8,29,362.5,10.214847875317558,2.214847875317558,27.685598441469473
31306,90,10,80,800.0,12.37373953954634,2.3737395395463405,23.737395395463405
31307,54,5,49,980.0000000000001,10.907322560070186,5.907322560070186,118.14645120140372
31308,53,7,46,657.1428571428571,10.866588755084738,3.866588755084738,55.236982215496255
31309,27,11,16,145.45454545454547,9.80750982546307,-1.19249017453693,10.840819768517546
31310,33,11,22,200.0,10.051912655375762,-0.9480873446242377,8.618975860220344
31311,197,16,181,1131.25,16.73225667298935,0.7322566729893509,4.576604206183443
31312,46,9,37,411.1111111111111,10.581452120186597,1.5814521201865972,17.571690224295526
31313,45,7,38,542.8571428571429,10.540718315201147,3.540718315201147,50.58169021715925
31314,208,8,200,2500.0,17.18032852782929,9.180328527829289,114.75410659786611
31315,23,19,4,21.052631578947366,9.644574605521276,-9.355425394478724,49.239081023572226
31316,21,19,2,10.526315789473683,9.563106995550378,-9.436893004449622,49.6678579181559
31317,14,17,-3,17.647058823529413,9.277970360652237,-7.722029639347763,45.423703760869195
31318,24,9,15,166.66666666666669,9.685308410506725,0.6853084105067246,7.614537894519163
31319,45,24,21,87.5,10.540718315201147,-13.459281684798853,56.08034035332855
31320,138,15,123,819.9999999999999,14.328962178847878,-0.6710378211521224,4.473585474347483
31321,62,18,44,244.44444444444446,11.233192999953776,-6.766807000046224,37.593372222479026
31323,206,11,195,1772.7272727272727,17.098860917858392,6.098860917858392,55.44419016234902
31324,77,18,59,327.77777777777777,11.844200074735507,-6.155799925264493,34.198888473691625
31325,51,13,38,292.30769230769226,10.78512114511384,-2.2148788548861607,17.037529652970466
31326,17,9,8,88.88888888888889,9.400171775608584,0.40017177560858386,4.446353062317598
31327,52,14,38,271.42857142857144,10.825854950099288,-3.1741450499007122,22.672464642147943
31328,59,12,47,391.66666666666663,11.11099158499743,-0.8890084150025697,7.408403458354747
31330,83,14,69,492.8571428571429,12.088602904648198,-1.911397095351802,13.652836395370013
31331,27,3,24,800.0,9.80750982546307,6.80750982546307,226.91699418210231
31332,54,13,41,315.38461538461536,10.907322560070186,-2.0926774399298136,16.097518768690875
31333,81,17,64,376.4705882352941,12.007135294677301,-4.992864705322699,29.36979238425117
31334,11,18,-7,38.88888888888889,9.155768945695892,-8.844231054304108,49.13461696835616
31335,169,32,137,428.125,15.591710133396788,-16.408289866603212,51.27590583313504
31336,41,18,23,127.77777777777777,10.377783095259353,-7.622216904740647,42.345649470781375
31337,72,6,66,1100.0,11.640531049808263,5.6405310498082635,94.00885083013773
31338,27,7,20,285.7142857142857,9.80750982546307,2.80750982546307,40.107283220900996
31339,90,1,89,8900.0,12.37373953954634,11.37373953954634,1137.373953954634
31340,33,17,16,94.11764705882352,10.051912655375762,-6.948087344624238,40.8711020272014
31380,9,6,3,50.0,9.074301335724993,3.074301335724993,51.23835559541655
31381,5,8,-3,37.5,8.9113661157832,0.9113661157831991,11.39207644728999
31383,9,2,7,350.0,9.074301335724993,7.074301335724993,353.7150667862496
31385,3,11,-8,72.72727272727273,8.8298985058123,-2.1701014941876995,19.72819540170636
31386,8,10,-2,20.0,9.033567530739544,-0.9664324692604556,9.664324692604556
31387,2,6,-4,66.66666666666666,8.789164700826852,2.789164700826852,46.4860783471142
31389,6,6,0,0.0,8.952099920768648,2.9520999207686476,49.201665346144125
31390,26,14,12,85.71428571428571,9.766776020477622,-4.2332239795223785,30.23731413944556
31391,44,14,30,214.28571428571428,10.499984510215699,-3.5000154897843014,25.000110641316436
31392,25,12,13,108.33333333333333,9.726042215492173,-2.273957784507827,18.94964820423189
31393,36,14,22,157.14285714285714,10.17411407033211,-3.8258859296678907,27.327756640484935
31394,28,15,13,86.66666666666667,9.84824363044852,-5.15175636955148,34.345042463676535
31395,27,8,19,237.5,9.80750982546307,1.80750982546307,22.593872818288375
31396,7,9,-2,22.22222222222222,8.992833725754096,-0.007166274245903992,0.07962526939893325
31398,8,1,7,700.0,9.033567530739544,8.033567530739544,803.3567530739545
31399,6,6,0,0.0,8.952099920768648,2.9520999207686476,49.201665346144125
31400,62,15,47,313.3333333333333,11.233192999953776,-3.7668070000462244,25.11204666697483
31401,42,6,36,600.0,10.418516900244802,4.418516900244802,73.64194833741337
31402,24,10,14,140.0,9.685308410506725,-0.31469158949327536,3.1469158949327536
31403,20,2,18,900.0,9.52237319056493,7.522373190564929,376.11865952824644
31404,47,1,46,4600.0,10.622185925172046,9.622185925172046,962.2185925172046
31405,28,2,26,1300.0,9.84824363044852,7.84824363044852,392.412181522426
31406,38,17,21,123.52941176470588,10.255581680303006,-6.744418319696994,39.67304893939408
31407,29,14,15,107.14285714285714,9.888977435433969,-4.111022564566031,29.364446889757367
31408,55,11,44,400.0,10.948056365055635,-0.05194363494436516,0.4722148631305923
31411,28,11,17,154.54545454545453,9.84824363044852,-1.1517563695514799,10.470512450467998
31412,31,2,29,1450.0,9.970445045404865,7.970445045404865,398.52225227024326
31413,27,14,13,92.85714285714286,9.80750982546307,-4.19249017453693,29.9463583895495
31414,28,11,17,154.54545454545453,9.84824363044852,-1.1517563695514799,10.470512450467998
31415,21,17,4,23.52941176470588,9.563106995550378,-7.436893004449622,43.74642943793896
