X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-8571849.74158647,4696455.16385451,Livingston Rd & 3rd St SE,classic,d72b1790-0fea-4af8-9d2a-fd4d4db24d1a,,2025/07/27 04:41:12+00,10,0,4,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.82373,-77.00223,2025/07/27 04:42:29+00,279556484
-8559494.2124304,4722559.43011604,Crescent Rd & Ridge Rd,classic,10d57c0d-6f3c-45d1-8a12-eda5665e213c,,2025/07/27 04:41:12+00,4,0,11,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",133,Prince George's County,,39.006191,-76.891247,2025/07/27 04:42:29+00,279556485
-8571679.33544936,4708404.6182938,4th & Florida Ave NE,classic,21cdfe0d-71ad-4302-a003-3cfc0d355af9,,2025/07/27 04:41:12+00,11,1,5,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.907316,-77.000698,2025/07/27 04:42:29+00,279556486
-8595099.72782763,4711224.43095865, Scotts Crossing Rd & Spring Gate Dr,classic,2070121870129475816,,2025/07/27 04:41:13+00,9,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",104,"Fairfax, VA",,38.927018,-77.211094,2025/07/27 04:42:29+00,279556487
-8575238.83737486,4713436.210828,14th & Upshur St NW,classic,08254943-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:16+00,17,0,1,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.942475,-77.032678,2025/07/27 04:42:29+00,279556488
-8564726.88009746,4712269.05787795,Bladensburg Waterfront Park,classic,2025978688145375308,,2025/07/27 04:41:16+00,5,0,6,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,13,"KEY,CREDITCARD",133,Prince George's County,,38.934324,-76.938248,2025/07/27 04:42:29+00,279556489
-8576904.1363735,4710678.00469841,Calvert & Biltmore St NW,classic,0824773f-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:16+00,15,0,5,3,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,"Washington, DC",,38.923203,-77.047637,2025/07/27 04:42:29+00,279556490
-8572065.44956841,4703957.0382309,M St & New Jersey Ave SE,classic,082486f0-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:21+00,12,0,4,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,17,"KEY,CREDITCARD",42,"Washington, DC",,38.876219,-77.004169,2025/07/27 04:42:29+00,279556491
-8580170.76786155,4720830.10368694,Connecticut Ave & Chevy Chase Lake Dr,classic,08261407-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:23+00,12,0,2,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",44,"Montgomery County, MD (South)",,38.994113,-77.076986,2025/07/27 04:42:29+00,279556492
-8574920.98907524,4707398.95084989,13th St & New York Ave NW,classic,0824aa39-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:26+00,25,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,"KEY,CREDITCARD",42,"Washington, DC",,38.900283,-77.029822,2025/07/27 04:42:29+00,279556493
-8579678.77077251,4693477.68539074,Mandeville Ln & Stovall St,classic,141766fa-fa3b-4c61-8e46-a8673c910a0c,,2025/07/27 04:40:27+00,4,0,8,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",40,"Alexandria, VA",,38.802893,-77.072558,2025/07/27 04:42:29+00,279556494
-8574511.08210359,4705546.29981066,Independence Ave & L'Enfant Plaza SW/DOE,classic,08256e7b-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:31+00,3,1,19,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,"Washington, DC",,38.887332,-77.026141,2025/07/27 04:42:29+00,279556495
-8575164.17385368,4709224.91458018,14th & R St NW,classic,0824799f-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:40:37+00,16,0,2,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.913046,-77.032008,2025/07/27 04:42:29+00,279556496
