station_id,capacity_peak,station_name,docks_total,diff_peak,ape_peak
32077,3,Rockville Pike & Old Georgetown Rd,14,-11,78.57142857142857
32078,4,Woodglen Dr & Executive Blvd,14,-10,71.42857142857143
32079,3,Executive Blvd & E Jefferson St,6,-3,50.0
32080,3,Fishers Ln & Rock Creek Mill Rd,7,-4,57.14285714285714
32081,2,Congressional Ln & E Jefferson St,6,-4,66.66666666666666
32082,3,Garland Ave & Walden Rd,8,-5,62.5
32083,2,Rockville Pike & Rose Ave,13,-11,84.61538461538461
32084,3,Wheaton Library & Community Rec Center,9,-6,66.66666666666666
32085,2,The Shoppes @ Burnt Mills,5,-3,60.0
32086,2,Briggs Chaney & Castle Dr,15,-13,86.66666666666667
32087,1,White Oak Rec Center,14,-13,92.85714285714286
