station_id,station_name,docks_total
31396.0,Dorr Ave & Prosperity Ave,9
31398.0,Tyco Rd & Boyd Pointe Way,1
31399.0,Old Meadow Rd & Cathy Ln,6
31400.0,Georgia & New Hampshire Ave NW,15
31401.0,14th & Quincy St NW,6
31402.0,14th St Heights / 14th & Crittenden St NW,10
31403.0,5th & Kennedy St NW,2
31404.0,9th & Upshur St NW,1
31405.0,Georgia Ave & Emerson St NW,2
31406.0,14th & Upshur St NW,17
31407.0,Colorado Ave & Longfellow St NW,14
31408.0,Takoma Metro,11
31411.0,Georgia & Missouri Ave NW,11
31412.0,3rd St & Riggs Rd NE,2
31413.0,3rd & Underwood St NW,14
31414.0,Georgia Ave & Piney Branch Rd NW,11
31415.0,Georgia Ave & Kennedy St NW,17
31416.0,14th St & Luzon Ave NW,8
31417.0,Kansas Ave & Sherman Cr NW,3
31418.0,New Hampshire & Gallatin St NW,9
31419.0,Georgia Ave & Morton St NW,12
31420.0,17th & Upshur St NW,19
31421.0,Grant Circle,7
31422.0,Broad Branch Rd & Northampton St NW,16
31423.0,Kansas Ave & Longfellow St NW,1
31424.0,9th & Ingraham St NW,5
31425.0,Georgia Ave & Dahlia St NW,5
31426.0,10th St & Spring Rd NW,12
31427.0,Kansas Ave & Tuckerman St NW / Lamond Rec ,11
31428.0,Western Ave & Pinehurst Cir NW ,6
31429.0,Rock Creek Pkwy & Pkwy Dr NW ,18
31500.0,4th & W St NE,12
31501.0,12th & Newton St NE,5
31502.0,John McCormack Rd & Michigan Ave NE,10
31503.0,Florida Ave & R St NW,6
31504.0,10th & Monroe St NE,18
31505.0,Eckington Pl & Q St NE,20
31506.0,1st & Rhode Island Ave NW,14
31507.0,1st & Washington Hospital Center NW,9
31508.0,Gallaudet / 8th St & Florida Ave NE,15
31509.0,New Jersey Ave & R St NW,0
31510.0,18th St & Rhode Island Ave NE,1
31511.0,12th & Irving St NE,9
31512.0,Neal St & Trinidad Ave NE,5
31513.0,Rhode Island Ave & V St NE,18
31514.0,Hamlin & 7th St NE,8
31515.0,Fort Totten Metro,11
31516.0,Rhode Island Ave Metro,18
31517.0,Union Market,9
31518.0,New York Ave & Hecht Ave NE,12
31519.0,1st & O St NW,5
31520.0,24th & R St NE / National Arboretum,5
31521.0,18th & Monroe St NE,0
31522.0,2nd St & Seaton Pl NE,15
31523.0,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,11
31524.0,Montello Ave & Holbrook Terr NE,11
31525.0,Trinidad Rec Center,18
31526.0,Rhode Island & Montana Ave NE,13
31527.0,North Capitol & R St NE,8
31528.0,John McCormack Rd NE,13
31529.0,Edgewood Rec Center,2
31530.0,Capitol Ave & Kendall St NE,14
31531.0,MBT & Bryant St NE,14
31532.0,4th & Florida Ave NE,12
31533.0,Tanner Park,9
31534.0,7th & Monroe St NE,6
31535.0,10th St & Rhode Island Ave NE,12
31536.0,5th & Morse St NE,18
31537.0,Fort Lincoln Dr & 33rd Pl NE,11
31538.0,South Dakota Ave & Bladensburg Rd NE,9
31539.0,South Dakota Ave & 33rd St NE,1
31540.0,3rd & N St NE,6
31541.0,10th & Quincy St NE / Turkey Thicket Rec,15
31542.0,12th & Varnum St NE,1
31543.0,24th St & Rhode Island Ave NE,7
31544.0,Michigan Ave & Allison St NE,3
31545.0,18th & Upshur St NE,0
31546.0,South Dakota Ave & Decatur St NE ,3
31600.0,5th & K St NW,5
31601.0,19th & East Capitol St SE,12
31602.0,Park Rd & Holmead Pl NW,32
31603.0,1st & M St NE,1
31604.0,3rd & H St NW,11
31605.0,3rd & D St SE,11
31606.0,Potomac & Pennsylvania Ave SE,5
31607.0,13th & E St SE,9
31608.0,8th & Eye St SE / Barracks Row,11
31609.0,Maine Ave & 7th St SW,0
31610.0,Eastern Market / 7th & North Carolina Ave SE,12
31611.0,13th & H St NE,1
31612.0,D St & Maryland Ave NE,22
31615.0,6th & H St NE,6
31616.0,3rd & H St NE,5
31617.0,Bladensburg Rd & Benning Rd NE,0
31618.0,4th & East Capitol St NE,5
31619.0,Lincoln Park / 13th & East Capitol St NE ,17
31620.0,5th & F St NW,26
31621.0,4th & D St NW / Judiciary Square,14
31622.0,13th & D St NE,26
31623.0,Columbus Circle / Union Station,17
31624.0,North Capitol St & F St NW,7
31625.0,3rd & G St SE,6
31626.0,15th St & Massachusetts Ave SE,9
31627.0,M St & Delaware Ave NE,16
31628.0,1st & I St SE,2
31629.0,8th & East Capitol St NE,6
31630.0,15th & East Capitol St NE,7
31631.0,8th & F St NE,14
31632.0,15th & F St NE,4
31633.0,Independence Ave & L'Enfant Plaza SW/DOE,4
31634.0,3rd & Tingey St SE,10
31635.0,Potomac Ave & 8th St SE,9
31636.0,New Jersey Ave & N St NW/Dunbar HS,8
31637.0,North Capitol St & G Pl NE,0
31638.0,1st & H St NW,5
31639.0,2nd & G St NE,12
31640.0,Maryland Ave & E St NE,14
31641.0,2nd St & Massachusetts Ave NE,16
31642.0,New Jersey Ave & K St NW,17
31643.0,1st & D St SE,12
31644.0,12th St & Pennsylvania Ave SE,18
31645.0,6th & K St NE,9
31646.0,Maine Ave & 9th St SW,6
31647.0,7th St & Massachusetts Ave NE,11
31648.0,Potomac Ave & Half St SW,13
31649.0,14th & Newton St NW,16
31650.0,1st & M St SE,22
31651.0,11th & Park Rd NW,19
31652.0,4th & M St SE,15
31653.0,7th & K St NW,6
31654.0,King Greenleaf Rec Center,8
31655.0,New Jersey Ave & F St NW,10
31656.0,Maryland Ave & 17th St NE,12
31657.0,Massachusetts Ave & 6th St NE,11
31658.0,Rosedale Rec Center,3
31659.0,11th & C St SE,10
31661.0,8th & H St NE,10
31662.0,1st & K St NE,10
31663.0,14th & D St SE,13
31664.0,Half & Water St SW,3
31665.0,Stadium Armory Metro,9
31666.0,4th & G St SW,5
